Date,Executive Orders 
28-Feb-20,overnor Brown convened a Coronavirus Response Team tasked with coordinating state and local agencies and health authorities. The group will meet regularly and make recommendations to the Governor.
2-Mar-20,Governor Kate Brown wrote a letter to Vice President Pence requesting the release of additional PPE supplies from the federal government’s strategic national stockpile.
5-Mar-20,"he State of Oregon reached an agreement with health insurance companies to waive cost-sharing for patients who testing for COVID-19. The agreement means that people with insurance and group health plans won’t face co-payments, co-insurance, or deductibles for COVID-19 testing at in-network healthcare providers or emergency rooms. It will also cover immunization for covered people, when that becomes available."
8-Mar-20,"Governor Brown issued a state of emergency on Sunday, 9 March, 2020 as the state’s identified cases of novel coronavirus COVID-19 rise to 14."
10-Mar-20,Governor Brown issued a policy to limit transmission of COVID-19 in long-term care facilities.
12-Mar-20,"Governor Brown announced statewide school closures for K-12 schools in Oregon from March 16th through March 31st.  Oregon is sending an Incident Management Team to Seattle-King Co., WA to support planners and public health officials through the Emergency Management Assistance Compact. "
16-Mar-20,The Governor announced new statewide actions for the next four weeks regarding social distancing to reduce the spread of COVID-19.
17-Mar-20,"The Governor signed an executive order which extended statewide school closures until April 28. <br>  The Governor announced an extension of the statewide school closure to a total of six weeks, until April 28, and issued further guidance for Oregon’s public schools."
18-Mar-20,"The Governor directed all Oregon hospitals, outpatient clinics, and health care providers, including veterinarians and dentists, to cease all non-emergency medical procedures to conserve personal protective equipment."
22-Mar-20,"The Governor issued Executive Order 20-11, placing a 90-day moratorium on residential evictions for nonpayment."
23-Mar-20,"The Governor issued Executive Order 20-12, directing Oregonians to stay at home to the maximum extent possible, outlining new guidance for child care facilities, and expanding the list of businesses that will be temporarily closed."
25-Mar-20,"The Oregon Department of Consumer and Business Services issued a temporary emergency order requiring insurance companies to extend grace periods for premium payments, postpone policy cancellations and nonrenewals, and extend deadlines for reporting claims. <br> The Governor and the Oregon Department of Revenue announced an extension through July 15 for Oregon tax filing and payment deadlines for personal income taxes and some other taxes, such as corporate income and excise taxpayers. <br> The Governor called on the federal government to open a special enrollment period for Oregonians to buy health insurance and apply for federal subsidies through HealthCare.gov. Specifically, the Governor requested that the enrollment period open immediately and last at least 30 days. <br> The Centers for Medicare & Medicaid Services (CMS) approved Oregon’s request for a Section 1135 Medicaid waiver. The approved waiver enables Oregon to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, lift prior authorization requirements, allow for reimbursement facility services in alternative settings, extend fair hearing timelines, and waive public comment and tribal consultation requirements for certain changes to the Medicaid state plan."
