Date,Executive Orders
2/29/20,Governor Inslee declared a state of emergency and called for implementation of the Washington State Comprehensive Emergency Management Plan. The Governor also mobilized the National Guard in state status to support efforts.
3/4/20,The state senate unanimously approved $100 million funding package to support state and local public health organizations respond to the coronavirus. An amendment was added that ensures individuals can access unemployment benefits without meeting the work search requirements if they are under isolation or quarantine.
3/4/20,"According to news sources, King County purchased a motel to expand its ability to provide quarantine."
3/5/20,"Insurance Commissioner Mike Kreidler issued an emergency order for all state-regulated health plans to waive co-pays and deductibles for testing, allow for a one-time early refill on prescription medications, and allow enrollees to be treated by another provider within a reasonable distance at no cost (if there is not enough providers testing in network)."
3/5/20,The Department of Labor and Industries has changed its workers compensation policies to ensure that benefits are provided to health care workers and first responders who are quarantined.
3/10/20,"Governor Inslee issued rules guiding visitor rules, screening, and protective measures for nursing homes and assisted living facilities. "
3/10/20,"Governor Inslee announced a ban on gatherings of 250 people or more in King, Pierce, and Snohomish counties as part of a social distancing strategy."
3/10/20,The Governor’s office published a resource list for business and workers in the state who have been impacted by the virus. These resources are aimed at supporting economic retention and recovery efforts.
3/10/20,"The Washington State Department of Health developed a suite of policy considerations and recommendations for school facilities, correctional facilities, and broader community-based organizations."
3/11/20,"Governor Inslee issued an emergency proclamation prohibiting large public events with more the 250 people in King, Snohomish, and Pierce counties."
3/12/20,"Governor Inslee announced closures of all public and private K-12 schools in King, Snohomish and Pierce counties for the next six weeks.  "
3/13/20,"The Governor signed a proclamation requiring that all public and private universities, colleges, technical schools, apprenticeship and similar programs are prohibited from conducting in-person classroom instruction and lectures."
3/14/20,he Washington State Department of Health and the Office of the Insurance Commissioner issued an emergency order to state-regulated health plans to cover testing and lab fees related to COVID-19 without copays or deductibles and to suspend prior authorization requirements for treatments.
3/15/20,"The Governor signed an emergency proclamation temporarily shutting down restaurants, bars, and entertainment and recreational facilities."
3/16/20,"The Governor announced an emergency proclamation that mandates the immediate two-week closure of all restaurants, bars, and entertainment and recreational facilities, as well as additional limits on large gatherings."
